participant_id,alpha,phi,rho,capacity,kappa,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10111,0.004805823788046837,0.1930680125951767,0.27832502126693726,2.0,-0.12463855743408203,0.16618111729621887,569.1279907226562,1150.2559814453125,1177.6728699677983,1150.374961615284,0.2734325075356572,0.0002655818243511021,713,False,50,32,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10112,0.0010000000474974513,0.08853381127119064,0.15460152924060822,2.0,1.0,0.006501100957393646,482.236083984375,976.47216796875,1003.8383519641294,976.59216796875,0.3791369163543252,4.375229309516726e-06,707,True,50,29,"['alpha', 'capacity', 'kappa', 'epsilon']","v4.0-K[2,6]-phiapprox"
10114,0.009245222434401512,0.1217254251241684,0.1051592081785202,2.0,0.24935805797576904,0.029667465016245842,468.6227722167969,949.2455444335938,976.6286775927865,949.3652025532518,0.3983655433535378,0.0006829333142377436,709,False,50,33,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10115,0.007082181051373482,0.035427335649728775,0.08371113240718842,6.0,1.0,0.07344777882099152,336.2241516113281,684.4483032226562,711.8483378014757,684.5676214044744,0.5695577894009004,8.78566424944438e-06,711,True,49,1,"['alpha', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10116,0.007287101354449987,0.09804058074951172,0.11307691037654877,4.999999523162842,0.20921564102172852,0.0548529177904129,365.66082763671875,743.3216552734375,770.7804726877268,743.4397987333531,0.5364361713707853,0.39325690269470215,718,False,50,25,['alpha'],"v4.0-K[2,6]-phiapprox"
10117,0.025505783036351204,0.06680714339017868,0.0585213340818882,5.999999046325684,-0.4710741639137268,0.0506705604493618,281.4329833984375,574.865966796875,602.299662053039,574.9846108646716,0.641718403977794,8.31614943308523e-06,715,True,49,27,['capacity'],"v4.0-K[2,6]-phiapprox"
10120,0.006067679263651371,0.07178167998790741,0.19201117753982544,2.9142839908599854,0.9711288213729858,0.0716199055314064,349.3431701660156,710.6863403320312,738.1200355881953,710.8049843998278,0.5552645356093963,7.658489266759716e-06,715,True,48,21,['alpha'],"v4.0-K[2,6]-phiapprox"
10121,0.009461953304708004,0.24545983970165253,0.35719963908195496,2.336472988128662,-0.004272878170013428,0.16582058370113373,512.6651611328125,1037.330322265625,1064.7303568444445,1037.4496404474432,0.34367378370175217,0.0027563339099287987,711,False,48,14,"['alpha', 'kappa']","v4.0-K[2,6]-phiapprox"
10125,0.010335613042116165,0.159047469496727,0.1300463080406189,3.0265655517578125,0.04706096649169922,0.07783370465040207,441.5596008300781,895.1192016601562,922.5696567037539,895.2375115193112,0.4394353283553343,9.44316343520768e-06,717,True,50,35,['alpha'],"v4.0-K[2,6]-phiapprox"
10126,0.42195048928260803,0.26073047518730164,0.9347423911094666,4.999999523162842,1.0,0.07965043932199478,241.26641845703125,494.5328369140625,522.0000050603887,494.6508144421524,0.6945616715613978,0.6418822407722473,719,False,50,20,['kappa'],"v4.0-K[2,6]-phiapprox"
10128,0.009820804931223392,0.020526481792330742,0.060743845999240875,5.0,-0.3835344910621643,0.18151476979255676,482.6592712402344,977.3185424804688,1004.6677292973424,977.4388863200103,0.3768292173361931,0.05444597080349922,705,False,50,24,['alpha'],"v4.0-K[2,6]-phiapprox"
10130,0.006835544016212225,0.15581589937210083,0.20190896093845367,2.0,-0.7300098538398743,0.21730495989322662,588.5723876953125,1189.144775390625,1216.5616639131108,1189.2637555605966,0.2486091514871076,7.135004580050008e-06,713,True,50,35,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10135,0.005705923307687044,0.06873249262571335,0.12334144860506058,3.286314010620117,0.5199707746505737,0.09619918465614319,436.58026123046875,885.1605224609375,912.5011925978857,885.2810389602201,0.43552204638783454,6.507080979645252e-05,704,True,50,44,['alpha'],"v4.0-K[2,6]-phiapprox"
10137,0.006562529597431421,0.08247080445289612,0.16564445197582245,4.999999523162842,0.12556993961334229,0.028217148035764694,249.49325561523438,510.98651123046875,538.4453286447581,511.10465469038434,0.6837067576047036,0.09747165441513062,718,False,49,19,['alpha'],"v4.0-K[2,6]-phiapprox"
10139,0.003912437707185745,0.3051745593547821,0.3368838429450989,2.0,-0.0985708236694336,0.17137661576271057,619.1015014648438,1250.2030029296875,1277.552189746561,1250.3233467692291,0.20066599730939982,8.301800335175358e-06,705,True,50,16,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10140,0.014649851247668266,0.11646133661270142,0.1419907510280609,2.0,0.7294836044311523,0.07655059546232224,383.8019104003906,779.6038208007812,807.0375160569453,779.7224648685778,0.5113964278311129,5.0882114010164514e-05,715,True,50,7,['capacity'],"v4.0-K[2,6]-phiapprox"
10141,0.0051209344528615475,0.09429693967103958,0.24250119924545288,2.0,0.046256065368652344,0.07523889094591141,419.81689453125,851.6337890625,879.0758700642639,851.7522657902856,0.46629356787289733,7.712737897236366e-06,716,True,49,40,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10142,0.01493325550109148,0.16602908074855804,0.5697200298309326,2.0,0.34966588020324707,0.04326362535357475,248.21507263183594,508.4301452636719,535.8973134099981,508.5481227917618,0.6857648181508671,9.296574717154726e-06,719,True,49,20,['capacity'],"v4.0-K[2,6]-phiapprox"
10143,0.006489570252597332,0.07193116843700409,0.1971885859966278,6.0,0.9728096723556519,0.10357894748449326,310.55389404296875,633.1077880859375,660.5749562322637,633.2257656140274,0.6068451511270867,9.525338100502267e-06,719,True,49,16,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
