participant_id,alpha,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10062,0.005505385808646679,0.0010000000474974513,0.12750200927257538,3.856497049331665,-0.21994763612747192,0.0010000000474974513,178.77989196777344,369.5597839355469,397.0186013498362,369.67792739546246,0.7733531050122902,7.1903518801264e-06,718,True,50,7,"['alpha', 'phi', 'epsilon']","v4.0-K[2,6]-phiapprox"
10063,0.003976394888013601,0.19590376317501068,0.08153007924556732,5.033851623535156,0.9015501737594604,0.1511385440826416,589.300537109375,1190.60107421875,1218.0179627412358,1190.7200543887216,0.2476795720207331,9.759281965671107e-06,713,True,50,34,['alpha'],"v4.0-K[2,6]-phiapprox"
10064,0.00467993039637804,0.1244334802031517,0.19279196858406067,2.999999761581421,1.0,0.14844001829624176,453.9516296386719,919.9032592773438,947.3117267458156,920.0224082135139,0.41965648835913316,0.11772002279758453,712,False,45,11,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10065,0.0017637480050325394,0.036758869886398315,0.3504325747489929,2.0,0.4497561454772949,0.05897565186023712,260.9875183105469,533.9750366210938,561.44220476742,534.0930141491837,0.6695951643584843,3.2397945233242353e-06,719,True,49,6,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10066,0.25364822149276733,0.29023945331573486,0.9637341499328613,5.339455604553223,1.0,0.0861591100692749,283.6184387207031,579.2368774414062,606.5945688663658,579.357049115226,0.6343333876512127,7.411126262013568e-06,706,True,48,19,['kappa_s'],"v4.0-K[2,6]-phiapprox"
10067,0.00219741347245872,0.2709088623523712,0.2262004017829895,2.0,0.47787392139434814,0.04774000868201256,595.7261352539062,1203.4522705078125,1230.8943515095764,1203.5707472355982,0.24266299352666154,5.1745892051258124e-06,716,True,49,31,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10071,0.01386128831654787,0.16916988790035248,0.680263340473175,2.0,0.7240058183670044,0.09166061878204346,311.6413269042969,635.2826538085938,662.7581610806544,635.4004658703049,0.606016443907877,5.5421410252165515e-06,720,True,50,18,['capacity'],"v4.0-K[2,6]-phiapprox"
10072,0.009022481739521027,0.08628007769584656,0.07825350761413574,5.0,0.25641393661499023,0.0044822790659964085,316.86273193359375,645.7254638671875,673.1842812814768,645.8436073271031,0.5982995987993018,0.32781848311424255,718,False,50,34,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10073,0.009022481739521027,0.08628007769584656,0.07825350761413574,5.0,0.25641393661499023,0.0044822790659964085,316.86273193359375,645.7254638671875,673.1842812814768,645.8436073271031,0.5982995987993018,0.32781848311424255,718,False,50,34,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10074,0.010691618546843529,0.06270769983530045,0.08207805454730988,4.999999523162842,0.6475521326065063,0.1350807249546051,403.615234375,819.23046875,846.6809237935977,819.3487786091549,0.4876061104709767,0.01693510264158249,717,False,50,8,['alpha'],"v4.0-K[2,6]-phiapprox"
