model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
WM-RL+M4 (LBA),alpha_pos,ies_hyperarousal,154,0.23585603355958795,0.003232577053079608,0.1616288526539804,False
WM-RL+M4 (LBA),alpha_neg,lec_total,154,-0.17940899236370295,0.025989807335368577,1.0,False
WM-RL+M4 (LBA),alpha_neg,lec_personal,154,-0.09265650918564768,0.25306787765962335,1.0,False
WM-RL+M4 (LBA),alpha_neg,ies_intrusion,154,0.04067551748771677,0.6164663319154531,1.0,False
WM-RL+M4 (LBA),alpha_neg,ies_avoidance,154,0.0420209052460806,0.6048449966046148,1.0,False
WM-RL+M4 (LBA),alpha_neg,ies_hyperarousal,154,0.08491924725247048,0.2950409786486701,1.0,False
WM-RL+M4 (LBA),phi,lec_total,154,-0.00977289895346876,0.9042508455562653,1.0,False
WM-RL+M4 (LBA),phi,lec_personal,154,0.1423943343795872,0.07812701941620478,1.0,False
WM-RL+M4 (LBA),phi,ies_intrusion,154,0.18624800541588993,0.02073803447383195,1.0,False
WM-RL+M4 (LBA),phi,ies_avoidance,154,0.10520861437960564,0.19409003560051902,1.0,False
WM-RL+M4 (LBA),phi,ies_hyperarousal,154,0.19121545567542939,0.017522767170060714,0.8761383585030357,False
WM-RL+M4 (LBA),rho,lec_total,154,0.06920738280014865,0.3937330933198796,1.0,False
WM-RL+M4 (LBA),rho,lec_personal,154,0.03705183384217742,0.6482377458257201,1.0,False
WM-RL+M4 (LBA),rho,ies_intrusion,154,-0.16429699201991985,0.041738464379781744,1.0,False
WM-RL+M4 (LBA),rho,ies_avoidance,154,-0.17496468085399045,0.02998152001610778,1.0,False
WM-RL+M4 (LBA),rho,ies_hyperarousal,154,-0.1888837596163565,0.01897371071399345,0.9486855356996724,False
WM-RL+M4 (LBA),capacity,lec_total,154,-0.01511179282219592,0.8524328861692576,1.0,False
WM-RL+M4 (LBA),capacity,lec_personal,154,-0.05643835759721286,0.48691132448150287,1.0,False
WM-RL+M4 (LBA),capacity,ies_intrusion,154,0.1604220272253203,0.046871819720156686,1.0,False
WM-RL+M4 (LBA),capacity,ies_avoidance,154,0.06772521908194036,0.4039659502619407,1.0,False
WM-RL+M4 (LBA),capacity,ies_hyperarousal,154,0.18356728014813348,0.02267594895120915,1.0,False
WM-RL+M4 (LBA),kappa,lec_total,154,0.17089274803236196,0.03408550257023669,1.0,False
WM-RL+M4 (LBA),kappa,lec_personal,154,-0.016996547300367724,0.8342778560274614,1.0,False
WM-RL+M4 (LBA),kappa,ies_intrusion,154,-0.048549344788297144,0.5498895508151822,1.0,False
WM-RL+M4 (LBA),kappa,ies_avoidance,154,-0.05282713198689097,0.5152525044998137,1.0,False
WM-RL+M4 (LBA),kappa,ies_hyperarousal,154,-0.021197627134279456,0.7941374282916273,1.0,False
WM-RL+M4 (LBA),v_scale,lec_total,154,-0.00726865913173059,0.9287100145947053,1.0,False
WM-RL+M4 (LBA),v_scale,lec_personal,154,0.09240432455058009,0.25436741057207163,1.0,False
WM-RL+M4 (LBA),v_scale,ies_intrusion,154,-0.18120319307011487,0.024512294834049334,1.0,False
WM-RL+M4 (LBA),v_scale,ies_avoidance,154,-0.0694951844685545,0.3917642818311745,1.0,False
WM-RL+M4 (LBA),v_scale,ies_hyperarousal,154,-0.12895278117954515,0.11096153414467233,1.0,False
WM-RL+M4 (LBA),A,lec_total,154,-0.037664269603538116,0.6428212656632708,1.0,False
WM-RL+M4 (LBA),A,lec_personal,154,0.03024997514260316,0.7095808232191008,1.0,False
WM-RL+M4 (LBA),A,ies_intrusion,154,0.11555961082485429,0.15353403224344397,1.0,False
WM-RL+M4 (LBA),A,ies_avoidance,154,0.10204822656361551,0.20790106723949017,1.0,False
WM-RL+M4 (LBA),A,ies_hyperarousal,154,0.12892640777097994,0.1110351950725449,1.0,False
WM-RL+M4 (LBA),delta,lec_total,154,-0.027005001196946286,0.7395468246692296,1.0,False
WM-RL+M4 (LBA),delta,lec_personal,154,0.10007211212009061,0.2168875761875675,1.0,False
WM-RL+M4 (LBA),delta,ies_intrusion,154,-0.1792274210816146,0.02614349189726659,1.0,False
WM-RL+M4 (LBA),delta,ies_avoidance,154,-0.14819646054506588,0.06662017882864138,1.0,False
WM-RL+M4 (LBA),delta,ies_hyperarousal,154,-0.22194661444211597,0.0056672798372358205,0.283363991861791,False
WM-RL+M4 (LBA),t0,lec_total,154,-0.010201805773721654,0.9000700311968874,1.0,False
WM-RL+M4 (LBA),t0,lec_personal,154,-0.011767639466956107,0.8848310428226356,1.0,False
WM-RL+M4 (LBA),t0,ies_intrusion,154,0.0879759071470702,0.27793821427615756,1.0,False
WM-RL+M4 (LBA),t0,ies_avoidance,154,0.167818967740278,0.03748987467411209,1.0,False
WM-RL+M4 (LBA),t0,ies_hyperarousal,154,0.171764986659334,0.03316850216894955,1.0,False
