participant_id,aic_M1,aic_M2,aic_M3,aic_M5,aic_M6a,aic_M6b,winning_model,m6b_nll,m6b_aic,m6b_n_trials,m6b_alpha,m6b_phi,m6b_rho,m6b_capacity,m6b_kappa_total,m6b_kappa_share,m6b_epsilon
10064,960.5103759765624,940.1737670898438,940.8892822265624,929.04931640625,919.9032592773438,921.9032592773438,M6a,453.9516296386719,921.9032592773438,712,0.0046798423863947,0.124455526471138,0.1928130835294723,2.9999988079071045,1.0,2.9387807186065765e-39,0.1484233438968658
10065,546.6510009765625,538.706298828125,509.445556640625,509.1187133789063,533.9750366210938,511.3829040527344,M5,248.6914520263672,511.3829040527344,719,0.0012202197685837,0.0380054600536823,0.1127707213163375,5.999991416931152,0.867586612701416,0.9257744550704956,0.0010000000474974
10066,602.0934448242188,581.791748046875,563.9765014648438,554.0477294921875,579.2368774414062,565.3778076171875,M5,275.6889038085937,565.3778076171875,706,0.0069960230030119,0.0649909526109695,0.2155738174915313,2.582458972930908,1.0,0.7385531067848206,0.0442536547780036
10067,1333.7425537109375,1228.8331298828125,1216.966552734375,1207.3411865234375,1203.4522705078125,1205.4522705078125,M6a,595.7261352539062,1205.4522705078125,716,0.00219741393812,0.2709088623523712,0.2262004166841507,2.0,0.4778739213943481,1.322564593130428e-35,0.0477399863302707
10071,675.8930053710938,629.7969970703125,635.7726440429688,637.7103271484375,635.2826538085938,634.0258178710938,M2,310.0129089355469,634.0258178710938,720,0.0123874153941869,0.1501470506191253,0.5579234957695007,2.0,1.0,0.3890106379985809,0.087077222764492
10072,669.397705078125,633.7433471679688,637.9542846679688,612.4259033203125,645.7254638671875,638.887939453125,M5,312.4439697265625,638.887939453125,718,0.0115517880767583,0.1121932342648506,0.1340165883302688,4.999999523162842,1.0,0.6985685229301453,0.0642842575907707
10073,669.397705078125,633.7433471679688,637.9542846679688,612.4259033203125,645.7254638671875,638.887939453125,M5,312.4439697265625,638.887939453125,718,0.0115517880767583,0.1121932342648506,0.1340165883302688,4.999999523162842,1.0,0.6985685229301453,0.0642842575907707
10074,818.7822875976562,820.9256591796875,797.86669921875,786.06103515625,819.23046875,796.721923828125,M5,391.3609619140625,796.721923828125,717,0.0081193605437874,0.0545246303081512,0.0622526742517948,5.0,1.0,0.7428204417228699,0.0723668113350868
10075,830.8456420898438,813.3713989257812,807.8817749023438,805.0921630859375,780.1865234375,782.1865844726562,M6a,384.0932922363281,782.1865844726562,717,0.0074816704727709,0.1052667871117591,0.1785004585981369,3.000000238418579,1.0,2.9408658507214925e-39,0.1105815321207046
10076,1157.83154296875,1031.8809814453125,983.9730224609376,974.5870361328124,994.9283447265624,960.8519897460938,M6b,473.4259948730469,960.8519897460938,710,0.0030533564276993,0.1979778409004211,0.2152668088674545,2.0,1.0,0.5319964289665222,0.0074437209405004
10077,688.8116455078125,677.2936401367188,660.8905029296875,660.3970947265625,672.0259399414062,662.1852416992188,M5,324.0926208496094,662.1852416992188,719,0.1863278895616531,0.4043385088443756,0.8676182627677917,4.999999523162842,1.0,0.7649181485176086,0.1097344756126403
10078,768.6524658203125,756.2803344726562,749.174560546875,749.7471923828125,754.7213745117188,749.7994384765625,M3,367.8997192382813,749.7994384765625,719,0.0168316178023815,0.1475999653339386,0.1138041988015174,6.0,0.8459969758987427,0.6266058683395386,0.1019902899861335
10079,668.7145385742188,630.1460571289062,614.9647827148438,615.4393920898438,603.03955078125,599.6251220703125,M6b,292.81256103515625,599.6251220703125,719,0.0105842305347323,0.1994701772928238,0.3681574463844299,2.0,1.0,0.2978048622608185,0.0265524871647357
10081,849.8812255859375,750.3834838867188,738.5191650390625,715.2213134765625,711.3853759765625,713.385498046875,M6a,349.6927490234375,713.385498046875,716,0.0048113237135112,0.1660154461860656,0.1106434985995292,4.96639347076416,0.9985911846160888,9.745619866663444e-10,0.0010000019101426
10083,843.1822509765625,831.3245849609375,810.0052490234375,809.262451171875,791.648681640625,791.6881713867188,M6a,388.8440856933594,791.6881713867188,703,0.0117983408272266,0.2518495917320251,0.1253164112567901,5.000000476837158,0.938185214996338,0.2193343639373779,0.0503228828310966
10084,445.5388793945313,449.9229736328125,404.3970947265625,408.8832092285156,449.878662109375,406.3971252441406,M3,196.1985626220703,406.3971252441406,717,0.9567742347717284,0.7537040114402771,0.8433024287223816,6.0,1.0,1.0,0.0464387722313404
10086,1261.949951171875,1253.1502685546875,830.6572265625,820.1973266601562,876.3026123046875,831.7545166015625,M5,408.8772583007813,831.7545166015625,630,0.0010000000474974,0.0510197356343269,0.0293029733002185,4.103727340698242,1.0,0.875420868396759,0.0010000000474974
10087,680.9271240234375,654.5629272460938,625.2359008789062,622.1881103515625,652.1204223632812,626.8502197265625,M5,306.42510986328125,626.8502197265625,714,0.0161394346505403,0.1002456247806549,0.2525705993175506,2.0,1.0,0.8863479495048523,0.073274165391922
